study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes,U_depth_cm,L_depth_cm,OC mass,N mass
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-M,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.619593,150.014523,0.32,0.37,0.09673,0.01017,,1.553353557,mangrove (A. marina) roots within some strata of core,31.8,37.1,0.15025589,0.015797606
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-M,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.619593,150.014523,0.37,0.42,0.10116,0.00923,,1.528703618,mangrove (A. marina) roots within some strata of core,37.1,42.4,0.154643658,0.014109934
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-M,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.619593,150.014523,0.42,0.48,0.08055,0.00794,,1.74026528,mangrove (A. marina) roots within some strata of core,42.4,47.7,0.140178368,0.013817706
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-M,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.619593,150.014523,0.48,0.53,0.06216,0.00537,,1.678640434,mangrove (A. marina) roots within some strata of core,47.7,53,0.104344289,0.009014299
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-M,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.619593,150.014523,0.53,0.64,0.05505,0.00535,,1.736587029,mangrove (A. marina) roots within some strata of core,53,63.6,0.095599116,0.009290741
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-M,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.619593,150.014523,0.64,0.74,0.0518,0.00613,,1.828169812,mangrove (A. marina) roots within some strata of core,63.6,74.2,0.094699196,0.011206681
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-M,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.619593,150.014523,0.74,0.85,0.0878,0.00666,,1.878080844,mangrove (A. marina) roots within some strata of core,74.2,84.8,0.164895498,0.012508018
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-M,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.619593,150.014523,0.85,0.95,0.04106,0.00631,,1.90721259,mangrove (A. marina) roots within some strata of core,84.8,95.4,0.078310149,0.012034511
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-M,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.619593,150.014523,0.95,1.06,0.03153,0.00406,,1.899878724,mangrove (A. marina) roots within some strata of core,95.4,106,0.059903176,0.007713508
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-F,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.589054,150.016571,0,0.05,16.7404,1.24172,,0.239029706,high concentration of charcoal C in some strata,0,5,4.001452886,0.296807966
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-F,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.589054,150.016571,0.05,0.1,13.02225,0.74475,,0.529668098,high concentration of charcoal C in some strata,5,10,6.897470389,0.394470316
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-F,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.589054,150.016571,0.1,0.15,6.11099,0.29542,,0.870387288,high concentration of charcoal C in some strata,10,15,5.318928013,0.257129813
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-F,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.589054,150.016571,0.15,0.2,1.77656,0.10123,,1.121979635,high concentration of charcoal C in some strata,15,20,1.993264139,0.113577998
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-F,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.589054,150.016571,0.2,0.25,1.32687,0.07422,,0.88362899,high concentration of charcoal C in some strata,20,25,1.172460799,0.065582944
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-F,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.589054,150.016571,0.25,0.3,0.68202,0.0391,,1.245942341,high concentration of charcoal C in some strata,25,30,0.849757596,0.048716346
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-F,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.589054,150.016571,0.3,0.35,0.43372,0.01803,,1.45658727,high concentration of charcoal C in some strata,30,35,0.631751031,0.026262268
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-F,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.589054,150.016571,0.35,0.4,1.54662,0.03061,,1.285871167,high concentration of charcoal C in some strata,35,40,1.988754065,0.039360516
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-F,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.589054,150.016571,0.4,0.45,0.79071,0.01892,,1.559465112,high concentration of charcoal C in some strata,40,45,1.233084658,0.02950508
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-F,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.589054,150.016571,0.45,0.5,0.55807,0.01934,,1.509554079,high concentration of charcoal C in some strata,45,50,0.842436845,0.029194776
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-F,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.589054,150.016571,0.5,0.6,0.49434,0.02622,,1.598737511,high concentration of charcoal C in some strata,50,60,0.790319901,0.041918898
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-F,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.589054,150.016571,0.6,0.7,0.52246,0.02945,,1.572706814,high concentration of charcoal C in some strata,60,70,0.821676402,0.046316216
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-F,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.589054,150.016571,0.7,0.8,0.66643,0.03566,,1.516887945,high concentration of charcoal C in some strata,70,80,1.010899633,0.054092224
Kelleway_et_al_2017,https://doi.org/10.1002/2017JG003775,WAP-F,S1,Salicornia quinqueflora marsh,Salt marsh,marsh,2014,-36.589054,150.016571,0.8,0.9,0.84587,0.03896,,1.48368183,high concentration of charcoal C in some strata,80,90,1.255001949,0.057804244
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1A,old forest (>70 yr),mangrove,mangrove,2014,-33.98323,151.009012,0,0.05,26,2.298,,0.202903454,mangrove encroachment (of salt marsh) site,,,5.2754898,0.466272137
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1A,old forest (>70 yr),mangrove,mangrove,2014,-33.98323,151.009012,0.05,0.1,16.81,1.821,,0.280927573,mangrove encroachment (of salt marsh) site,,,4.722392505,0.511569111
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1A,old forest (>70 yr),mangrove,mangrove,2014,-33.98323,151.009012,0.1,0.15,16.46251837,0.9497,,0.370971074,mangrove encroachment (of salt marsh) site,,,6.107118118,0.352311229
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1A,old forest (>70 yr),mangrove,mangrove,2014,-33.98323,151.009012,0.15,0.2,18.65,1.85,,0.359359129,mangrove encroachment (of salt marsh) site,,,6.702047758,0.664814389
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1A,old forest (>70 yr),mangrove,mangrove,2014,-33.98323,151.009012,0.2,0.3,15.73,1.888,,0.331449718,mangrove encroachment (of salt marsh) site,,,5.213704069,0.625777068
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1A,old forest (>70 yr),mangrove,mangrove,2014,-33.98323,151.009012,0.3,0.5,11.14,1.111,,0.474103477,mangrove encroachment (of salt marsh) site,,,5.281512732,0.526728963
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1A,old forest (>70 yr),mangrove,mangrove,2014,-33.98323,151.009012,0.5,1,2.373539037,0.9287,,1.019610227,mangrove encroachment (of salt marsh) site,,,2.420084677,0.946912018
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1B,old forest (>70 yr),mangrove,mangrove,2014,-33.98335,151.008662,0,0.05,20.52,1.583,,0.212885652,mangrove encroachment (of salt marsh) site,,,4.368413577,0.336997987
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1B,old forest (>70 yr),mangrove,mangrove,2014,-33.98335,151.008662,0.05,0.1,14.9,1.417,,0.393787526,mangrove encroachment (of salt marsh) site,,,5.867434143,0.557996925
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1B,old forest (>70 yr),mangrove,mangrove,2014,-33.98335,151.008662,0.1,0.15,11.82,1.405,,0.463255476,mangrove encroachment (of salt marsh) site,,,5.475679726,0.650873944
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1B,old forest (>70 yr),mangrove,mangrove,2014,-33.98335,151.008662,0.15,0.2,9.044,1.342,,0.491368605,mangrove encroachment (of salt marsh) site,,,4.443937665,0.659416668
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1B,old forest (>70 yr),mangrove,mangrove,2014,-33.98335,151.008662,0.2,0.3,6.13,1.193,,0.598117009,mangrove encroachment (of salt marsh) site,,,3.666457262,0.713553591
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1B,old forest (>70 yr),mangrove,mangrove,2014,-33.98335,151.008662,0.3,0.5,2.723,0.8403,,0.971227125,mangrove encroachment (of salt marsh) site,,,2.644651461,0.816122153
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1B,old forest (>70 yr),mangrove,mangrove,2014,-33.98335,151.008662,0.5,1,1.04,0.6061,,1.232577367,mangrove encroachment (of salt marsh) site,,,1.281880461,0.747065142
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1C,old forest (>70 yr),mangrove,mangrove,2014,-33.98309,151.008512,0,0.05,10.52,1.415,,0.435549783,mangrove encroachment (of salt marsh) site,,,4.581983722,0.616302944
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1C,old forest (>70 yr),mangrove,mangrove,2014,-33.98309,151.008512,0.05,0.1,11.63,1.401,,0.371582229,mangrove encroachment (of salt marsh) site,,,4.32150132,0.520586702
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1C,old forest (>70 yr),mangrove,mangrove,2014,-33.98309,151.008512,0.1,0.15,12,1.412,,0.381360708,mangrove encroachment (of salt marsh) site,,,4.576328501,0.53848132
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1C,old forest (>70 yr),mangrove,mangrove,2014,-33.98309,151.008512,0.15,0.2,8.753,1.385,,0.466107533,mangrove encroachment (of salt marsh) site,,,4.079839232,0.645558933
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1C,old forest (>70 yr),mangrove,mangrove,2014,-33.98309,151.008512,0.2,0.3,5.872,1.252,,0.455310461,mangrove encroachment (of salt marsh) site,,,2.673583028,0.570048697
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1C,old forest (>70 yr),mangrove,mangrove,2014,-33.98309,151.008512,0.3,0.5,6.898,0.8997,,0.52605165,mangrove encroachment (of salt marsh) site,,,3.628704284,0.47328867
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,1C,old forest (>70 yr),mangrove,mangrove,2014,-33.98309,151.008512,0.5,1,2.804,0.6362,,0.996895634,mangrove encroachment (of salt marsh) site,,,2.795295358,0.634225002
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2A,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.9848,151.008282,0,0.05,33.81,2.424,,0.103692629,mangrove encroachment (of salt marsh) site,,,3.50584777,0.251350932
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2A,mangrove encroached salt marsh (31-43 y prior),mangrove,mangrove,2014,-33.9848,151.008282,0.05,0.1,24.31,2.228,,0.135676406,mangrove encroachment (of salt marsh) site,,,3.298293427,0.302287032
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2A,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.9848,151.008282,0.1,0.15,16.6,1.707,,0.147695787,mangrove encroachment (of salt marsh) site,,,2.451750067,0.252116709
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2A,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.9848,151.008282,0.15,0.2,7.4,1.331,,0.432494009,mangrove encroachment (of salt marsh) site,,,3.200455663,0.575649525
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2A,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.9848,151.008282,0.2,0.3,6.315,1.228,,0.54066844,mangrove encroachment (of salt marsh) site,,,3.4143212,0.663940845
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2A,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.9848,151.008282,0.3,0.5,4.878,0.8317,,0.606214812,mangrove encroachment (of salt marsh) site,,,2.957115853,0.504188859
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2A,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.9848,151.008282,0.5,1,2.224,0.6146,,1.314034532,mangrove encroachment (of salt marsh) site,,,2.9224128,0.807605624
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2B,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.98443,151.008642,0,0.05,33.04,2.445,,0.17173455,mangrove encroachment (of salt marsh) site,,,5.674109525,0.419890974
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2B,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.98443,151.008642,0.05,0.1,25.4,2.206,,0.201069989,mangrove encroachment (of salt marsh) site,,,5.107177718,0.443560396
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2B,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.98443,151.008642,0.1,0.15,21.72,1.741,,0.17906841,mangrove encroachment (of salt marsh) site,,,3.889365856,0.311758101
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2B,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.98443,151.008642,0.15,0.2,14.33,1.597,,0.27644577,mangrove encroachment (of salt marsh) site,,,3.961467883,0.441483895
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2B,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.98443,151.008642,0.2,0.3,4.009,1.311,,0.772499897,mangrove encroachment (of salt marsh) site,,,3.096952085,1.012747364
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2B,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.98443,151.008642,0.3,0.5,3.591,0.8411,,0.811155449,mangrove encroachment (of salt marsh) site,,,2.912859218,0.682262848
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2B,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.98443,151.008642,0.5,1,1.932,0.6104,,1.448358055,mangrove encroachment (of salt marsh) site,,,2.798227763,0.884077757
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2C,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.98416,151.008602,0,0.05,30.81,2.328,,0.175197761,mangrove encroachment (of salt marsh) site,,,5.397843027,0.407860388
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2C,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.98416,151.008602,0.05,0.1,21.62,1.908,,0.198014214,mangrove encroachment (of salt marsh) site,,,4.281067307,0.37781112
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2C,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.98416,151.008602,0.1,0.15,19.54,2.118,,0.300688251,mangrove encroachment (of salt marsh) site,,,5.875448422,0.636857715
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2C,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.98416,151.008602,0.15,0.2,9.682,1.186,,0.485664492,mangrove encroachment (of salt marsh) site,,,4.702203611,0.575998087
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2C,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.98416,151.008602,0.2,0.3,3.428936605,0.5932,,0.793075448,mangrove encroachment (of salt marsh) site,,,2.719405433,0.470452356
Kelleway_et_al_2016a,https://doi.org/10.1111/gcb.13158,GR,2C,mangrove encroached salt marsh (58-70 y prior),mangrove,mangrove,2014,-33.98416,151.008602,0.3,0.5,3.695,0.7065,,0.793279166,mangrove encroachment (of salt marsh) site,,,2.931166518,0.560451731
