"","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"28","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.27,0.28,10.1,0.41,0.25,"https://doi.org/10.1177/09596836166328"
"29","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.28,0.29,12.46,0.48,0.28,"https://doi.org/10.1177/09596836166328"
"30","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.29,0.3,11.71,0.44,0.31,"https://doi.org/10.1177/09596836166328"
"31","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.3,0.31,11.03,0.43,0.3,"https://doi.org/10.1177/09596836166328"
"32","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.31,0.32,10.05,0.4,0.32,"https://doi.org/10.1177/09596836166328"
"33","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.32,0.33,9.51,0.37,0.37,"https://doi.org/10.1177/09596836166328"
"34","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.33,0.34,8.98,0.43,0.36,"https://doi.org/10.1177/09596836166328"
"35","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.34,0.35,11.3,0.34,0.34,"https://doi.org/10.1177/09596836166328"
"36","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.35,0.36,7.74,0.41,0.37,"https://doi.org/10.1177/09596836166328"
"37","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.36,0.37,10.94,0.41,0.3,"https://doi.org/10.1177/09596836166328"
"38","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.37,0.38,11.08,0.42,0.35,"https://doi.org/10.1177/09596836166328"
"39","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.38,0.39,11.54,0.42,0.27,"https://doi.org/10.1177/09596836166328"
"40","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.39,0.4,12.99,0.44,0.26,"https://doi.org/10.1177/09596836166328"
"41","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.4,0.41,12.45,0.43,0.3,"https://doi.org/10.1177/09596836166328"
"42","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.41,0.42,11.38,0.43,0.35,"https://doi.org/10.1177/09596836166328"
"43","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.42,0.43,11.69,0.43,0.31,"https://doi.org/10.1177/09596836166328"
"44","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.43,0.44,11.84,0.43,0.26,"https://doi.org/10.1177/09596836166328"
"45","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.44,0.45,13.97,0.5,0.2,"https://doi.org/10.1177/09596836166328"
"46","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.45,0.46,12.87,0.48,0.29,"https://doi.org/10.1177/09596836166328"
"47","Ruiz-Fernandez et al., 2018","EU","EUI","marsh only flooded with the highest tide",NA,23.15311,-106.3303333,0.46,0.47,12.9,0.49,0.37,"https://doi.org/10.1177/09596836166328"
"49","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0,0.01,3.54,0.31,0.5,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"50","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.01,0.02,3.5,0.3,0.45,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"51","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.02,0.03,3.61,0.25,0.43,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"52","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.03,0.04,3.71,0.2,0.66,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"53","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.04,0.05,3.64,0.2,0.41,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"54","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.05,0.06,3.57,0.21,0.33,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"55","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.06,0.07,3.54,0.19,0.53,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"56","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.07,0.08,3.52,0.18,0.73,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"57","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.08,0.09,3.3,0.17,0.43,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"58","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.09,0.1,3.08,0.16,0.77,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"59","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.1,0.11,2.87,0.15,0.78,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"60","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.11,0.12,2.66,0.14,0.61,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"61","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.12,0.13,2.23,0.12,1.02,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"62","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.13,0.14,1.8,0.11,1.08,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"63","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.14,0.15,1.62,0.1,0.69,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"64","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.15,0.16,1.44,0.09,1.18,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"65","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.16,0.17,1.5,0.09,1.16,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"66","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.17,0.18,1.57,0.09,0.73,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"67","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.18,0.19,1.37,0.08,0.97,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"68","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.19,0.2,1.18,0.07,1.53,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"69","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.2,0.21,0.98,0.06,1.33,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"70","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.21,0.22,0.78,0.05,1.43,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"71","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.22,0.23,0.82,0.05,0.89,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"72","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.23,0.24,0.92,0.05,1.03,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"73","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.24,0.25,0.76,0.04,1.66,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"74","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.25,0.26,0.7,0.04,1.37,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"75","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.26,0.27,0.82,0.05,1.04,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"76","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.27,0.28,0.57,0.03,0.88,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"77","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.28,0.29,0.68,0.04,1.24,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"78","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.29,0.3,0.86,0.04,1.03,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"79","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.3,0.31,0.76,0.04,1.28,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"80","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.31,0.32,0.88,0.05,1.22,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"81","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.32,0.33,1.05,0.05,1.24,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"82","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.33,0.34,1.44,0.07,0.93,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"83","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.34,0.35,0.96,0.05,1.18,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"84","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.35,0.36,1.08,0.05,1.51,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"85","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.36,0.37,0.92,0.04,1.03,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"86","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.37,0.38,0.76,0.04,1.7,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"87","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.38,0.39,0.76,0.04,1.19,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"88","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.39,0.4,0.8,0.04,1.28,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"89","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.4,0.41,0.65,0.03,1.77,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"90","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.41,0.42,0.63,0.03,0.86,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"91","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.42,0.43,0.65,0.03,1.51,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"92","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.43,0.44,0.67,0.03,0.92,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"93","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.44,0.45,0.66,0.03,1.24,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"94","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.45,0.46,0.75,0.03,0.63,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"95","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.46,0.47,0.67,0.04,1.17,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"96","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.47,0.48,0.55,0.03,1.23,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"97","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.48,0.49,0.65,0.03,1.35,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"98","Ruiz-Fernández et al., 2017","EU","EUII","marsh only flooded with the highest tide",NA,23.17579,-106.33599,0.49,0.5,0.55,0.03,1.85,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"100","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0,0.01,14.99,1.72,0.29,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"101","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.01,0.02,12.91,1.01,0.23,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"102","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.02,0.03,14.73,0.75,0.21,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"103","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.03,0.04,14.58,0.74,0.26,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"104","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.04,0.05,13.7,0.66,0.4,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"105","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.05,0.06,12.4,0.63,0.36,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"106","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.06,0.07,13.2,0.62,0.19,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"107","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.07,0.08,11.88,0.6,0.24,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"108","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.08,0.09,12.44,0.59,0.37,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"109","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.09,0.1,12.89,0.54,0.3,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"110","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.1,0.11,10.18,0.52,0.3,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"111","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.11,0.12,11.11,0.52,0.42,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"112","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.12,0.13,13.42,0.53,0.15,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"113","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.13,0.14,11.34,0.48,0.26,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"114","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.14,0.15,9.22,0.44,0.38,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"115","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.15,0.16,11.29,0.48,0.35,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"116","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.16,0.17,16.78,0.51,0.16,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"117","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.17,0.18,10.66,0.45,0.39,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"118","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.18,0.19,11.03,0.46,0.32,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"119","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.19,0.2,10.72,0.46,0.36,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"120","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.2,0.21,11.85,0.49,0.24,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"121","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.21,0.22,14.98,0.45,0.34,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"122","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.22,0.23,13.48,0.51,0.16,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"123","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.23,0.24,9.82,0.42,0.24,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"124","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.24,0.25,10.07,0.44,0.47,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"125","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.25,0.26,11.83,0.44,0.34,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"126","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.26,0.27,11.42,0.44,0.29,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"127","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.27,0.28,11.8,0.42,0.31,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"128","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.28,0.29,9.95,0.41,0.37,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"129","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.29,0.3,11.11,0.43,0.36,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"130","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.3,0.31,11.57,0.43,0.34,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"131","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.31,0.32,10.89,0.42,0.28,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"132","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.32,0.33,11.45,0.44,0.32,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"133","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.33,0.34,10.97,0.42,0.32,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"134","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.34,0.35,13.86,0.43,0.35,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"135","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.35,0.36,10.93,0.41,0.37,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"136","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.36,0.37,10.94,0.41,0.24,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
"137","Ruiz-Fernández et al., 2017","EU","EUIII","marsh only flooded with the highest tide",NA,23.15536,-106.32785,0.37,0.38,12.57,0.41,0.26,"https://doi.org/10.1016/j.scitotenv.2018.02.246"
