"study_id","site_id","transect_id","plot_id","core_id","year","month","day","latitude","longitude","position_method","section_n","max_depth","habitat","site_description","ecotype","protection_status","protection_notes","ecosystem_health","pH","salinity","ORP","inundation_notes","tree_count","dominant_species","plot_sediment_carbon","plot_sediment_carbon_1m","plot_biomass_carbon","total_ecosystem_carbon","total_ecosystem_carbon_1m","depth_min","depth_max","soil_organic_matter","soil_total_carbon","soil_inorganic_carbon","soil_organic_carbon","soil_nitrogen","dry_bulk_density","soil_carbon_density_total","soil_carbon_density_inorganic","soil_carbon_density_organic","carbon_stock_total","carbon_stock_inorganic","carbon_stock_organic","fraction_carbon","fraction_nitrogen","core_latitude","core_longitude","Habitat_type"
"Morrissette_et_al_2023","Hicks Caye","1",2,"Hicks Caye_1_2_mangrove",2021,9,2,17.691475,-88.116119,"handheld",3,224,"mangrove","Water ~3 in deep, healthier trees, more spaced out trees, open canopy, mostly Avicennia, no barnacles, healthy leaves","Caye","National Legislation",NA,"healthy",7.05,37,-210,"falling (plots 1-4) to low tide (plots 5-6)",30,"Avicennia germinans",714.6878045,279.0445801,64.2485,778.9363045,343.2930801,5,10,63.3094,30.661,0,30.661,1.335,0.1724,0.0529,0,0.0529,26.4295,0,26.4295,0.30661,0.01335,17.691475,-88.116119,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",2,"Hicks Caye_1_2_mangrove",2021,9,2,17.691475,-88.116119,"handheld",3,224,"mangrove","Water ~3 in deep, healthier trees, more spaced out trees, open canopy, mostly Avicennia, no barnacles, healthy leaves","Caye","National Legislation",NA,"healthy",7.05,37,-210,"falling (plots 1-4) to low tide (plots 5-6)",30,"Avicennia germinans",714.6878045,279.0445801,64.2485,778.9363045,343.2930801,10,15,59.8524,29.0886,0,29.0886,1.4153,0.1717,0.0499,0,0.0499,24.9672,0,24.9672,0.290886,0.014153,17.691475,-88.116119,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",2,"Hicks Caye_1_2_mangrove",2021,9,2,17.691475,-88.116119,"handheld",3,224,"mangrove","Water ~3 in deep, healthier trees, more spaced out trees, open canopy, mostly Avicennia, no barnacles, healthy leaves","Caye","National Legislation",NA,"healthy",7.05,37,-210,"falling (plots 1-4) to low tide (plots 5-6)",30,"Avicennia germinans",714.6878045,279.0445801,64.2485,778.9363045,343.2930801,15,20,55.5094,29.147,0,29.147,1.1477,0.1884,0.0549,0,0.0549,27.4517,0,27.4517,0.29147,0.011477,17.691475,-88.116119,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",2,"Hicks Caye_1_2_mangrove",2021,9,2,17.691475,-88.116119,"handheld",3,224,"mangrove","Water ~3 in deep, healthier trees, more spaced out trees, open canopy, mostly Avicennia, no barnacles, healthy leaves","Caye","National Legislation",NA,"healthy",7.05,37,-210,"falling (plots 1-4) to low tide (plots 5-6)",30,"Avicennia germinans",714.6878045,279.0445801,64.2485,778.9363045,343.2930801,20,25,61.1269,30.6275,0,30.6275,1.4634,0.2083,0.0638,0,0.0638,31.9028,0,31.9028,0.306275,0.014634,17.691475,-88.116119,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",2,"Hicks Caye_1_2_mangrove",2021,9,2,17.691475,-88.116119,"handheld",3,224,"mangrove","Water ~3 in deep, healthier trees, more spaced out trees, open canopy, mostly Avicennia, no barnacles, healthy leaves","Caye","National Legislation",NA,"healthy",7.05,37,-210,"falling (plots 1-4) to low tide (plots 5-6)",30,"Avicennia germinans",714.6878045,279.0445801,64.2485,778.9363045,343.2930801,25,30,68.4868,33.5945,0,33.5945,1.3313,0.178,0.0598,0,0.0598,29.8935,0,29.8935,0.335945,0.013313,17.691475,-88.116119,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",2,"Hicks Caye_1_2_mangrove",2021,9,2,17.691475,-88.116119,"handheld",3,224,"mangrove","Water ~3 in deep, healthier trees, more spaced out trees, open canopy, mostly Avicennia, no barnacles, healthy leaves","Caye","National Legislation",NA,"healthy",7.05,37,-210,"falling (plots 1-4) to low tide (plots 5-6)",30,"Avicennia germinans",714.6878045,279.0445801,64.2485,778.9363045,343.2930801,30,35,64.1396,33.9451,0,33.9451,1.7969,0.1812,0.0615,0,0.0615,30.7582,0,30.7582,0.339451,0.017969,17.691475,-88.116119,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",2,"Hicks Caye_1_2_mangrove",2021,9,2,17.691475,-88.116119,"handheld",3,224,"mangrove","Water ~3 in deep, healthier trees, more spaced out trees, open canopy, mostly Avicennia, no barnacles, healthy leaves","Caye","National Legislation",NA,"healthy",7.05,37,-210,"falling (plots 1-4) to low tide (plots 5-6)",30,"Avicennia germinans",714.6878045,279.0445801,64.2485,778.9363045,343.2930801,35,40,63.0464,30.151,0,30.151,1.491,0.1671,0.0504,0,0.0504,25.198,0,25.198,0.30151,0.01491,17.691475,-88.116119,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",2,"Hicks Caye_1_2_mangrove",2021,9,2,17.691475,-88.116119,"handheld",3,224,"mangrove","Water ~3 in deep, healthier trees, more spaced out trees, open canopy, mostly Avicennia, no barnacles, healthy leaves","Caye","National Legislation",NA,"healthy",7.05,37,-210,"falling (plots 1-4) to low tide (plots 5-6)",30,"Avicennia germinans",714.6878045,279.0445801,64.2485,778.9363045,343.2930801,40,45,62.9222,29.702,0,29.702,1.472,0.1868,0.0555,0,0.0555,27.7404,0,27.7404,0.29702,0.01472,17.691475,-88.116119,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",2,"Hicks Caye_1_2_mangrove",2021,9,2,17.691475,-88.116119,"handheld",3,224,"mangrove","Water ~3 in deep, healthier trees, more spaced out trees, open canopy, mostly Avicennia, no barnacles, healthy leaves","Caye","National Legislation",NA,"healthy",7.05,37,-210,"falling (plots 1-4) to low tide (plots 5-6)",30,"Avicennia germinans",714.6878045,279.0445801,64.2485,778.9363045,343.2930801,45,50,62.6801,33.2201,0,33.2201,1.1963,0.18,0.0598,0,0.0598,29.8919,0,29.8919,0.332201,0.011963,17.691475,-88.116119,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",2,"Hicks Caye_1_2_mangrove",2021,9,2,17.691475,-88.116119,"handheld",3,224,"mangrove","Water ~3 in deep, healthier trees, more spaced out trees, open canopy, mostly Avicennia, no barnacles, healthy leaves","Caye","National Legislation",NA,"healthy",7.05,37,-210,"falling (plots 1-4) to low tide (plots 5-6)",30,"Avicennia germinans",714.6878045,279.0445801,64.2485,778.9363045,343.2930801,116,121,12.7003,10,9.6904,0.3096,0.3886,0.6726,0.0673,0.0652,0.0021,275.7555,267.2176,8.5379,0.003096,0.003886,17.691475,-88.116119,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",2,"Hicks Caye_1_2_mangrove",2021,9,2,17.691475,-88.116119,"handheld",3,224,"mangrove","Water ~3 in deep, healthier trees, more spaced out trees, open canopy, mostly Avicennia, no barnacles, healthy leaves","Caye","National Legislation",NA,"healthy",7.05,37,-210,"falling (plots 1-4) to low tide (plots 5-6)",30,"Avicennia germinans",714.6878045,279.0445801,64.2485,778.9363045,343.2930801,176,181,13.2435,20.139,6.228,13.911,0.0933,0.5384,0.1084,0.0335,0.0749,650.5913,201.1954,449.396,0.13911,0.000933,17.691475,-88.116119,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",2,"Hicks Caye_1_2_mangrove",2021,9,2,17.691475,-88.116119,"handheld",3,224,"mangrove","Water ~3 in deep, healthier trees, more spaced out trees, open canopy, mostly Avicennia, no barnacles, healthy leaves","Caye","National Legislation",NA,"healthy",7.05,37,-210,"falling (plots 1-4) to low tide (plots 5-6)",30,"Avicennia germinans",714.6878045,279.0445801,64.2485,778.9363045,343.2930801,217,222,11.1632,5.1542,5.6343,0,0.2501,0.6662,0.0343,0.0375,0,147.6427,161.3954,0,0,0.002501,17.691475,-88.116119,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",3,"Hicks Caye_1_3_mangrove",2021,9,2,17.691509,-88.116355,"handheld",1,97,"mangrove","standing water ~4 in, trees 10-15 ft tall, open canopy, mostly Avicennia, leaves being eaten, brittle branches, no barnacles, oxygen stress","Caye","National Legislation",NA,"healthy",6.65,35,-327,"falling (plots 1-4) to low tide (plots 5-6)",36,"Rhizophora mangle",453.0933975,453.0933975,96.90056971,549.9939672,549.9939672,0,5,53.6092,27.4439,0,27.4439,1.4289,0.2392,0.0656,0,0.0656,32.8249,0,32.8249,0.274439,0.014289,17.691509,-88.116355,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",3,"Hicks Caye_1_3_mangrove",2021,9,2,17.691509,-88.116355,"handheld",1,97,"mangrove","standing water ~4 in, trees 10-15 ft tall, open canopy, mostly Avicennia, leaves being eaten, brittle branches, no barnacles, oxygen stress","Caye","National Legislation",NA,"healthy",6.65,35,-327,"falling (plots 1-4) to low tide (plots 5-6)",36,"Rhizophora mangle",453.0933975,453.0933975,96.90056971,549.9939672,549.9939672,5,10,60.3422,29.1041,0,29.1041,1.4131,0.1904,0.0554,0,0.0554,27.7017,0,27.7017,0.291041,0.014131,17.691509,-88.116355,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",3,"Hicks Caye_1_3_mangrove",2021,9,2,17.691509,-88.116355,"handheld",1,97,"mangrove","standing water ~4 in, trees 10-15 ft tall, open canopy, mostly Avicennia, leaves being eaten, brittle branches, no barnacles, oxygen stress","Caye","National Legislation",NA,"healthy",6.65,35,-327,"falling (plots 1-4) to low tide (plots 5-6)",36,"Rhizophora mangle",453.0933975,453.0933975,96.90056971,549.9939672,549.9939672,10,15,64.065,31.3458,0,31.3458,1.4725,0.2306,0.0723,0,0.0723,36.1417,0,36.1417,0.313458,0.014725,17.691509,-88.116355,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",3,"Hicks Caye_1_3_mangrove",2021,9,2,17.691509,-88.116355,"handheld",1,97,"mangrove","standing water ~4 in, trees 10-15 ft tall, open canopy, mostly Avicennia, leaves being eaten, brittle branches, no barnacles, oxygen stress","Caye","National Legislation",NA,"healthy",6.65,35,-327,"falling (plots 1-4) to low tide (plots 5-6)",36,"Rhizophora mangle",453.0933975,453.0933975,96.90056971,549.9939672,549.9939672,15,20,67.9479,34.082,0,34.082,1.38,0.2349,0.0801,0,0.0801,40.0305,0,40.0305,0.34082,0.0138,17.691509,-88.116355,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",3,"Hicks Caye_1_3_mangrove",2021,9,2,17.691509,-88.116355,"handheld",1,97,"mangrove","standing water ~4 in, trees 10-15 ft tall, open canopy, mostly Avicennia, leaves being eaten, brittle branches, no barnacles, oxygen stress","Caye","National Legislation",NA,"healthy",6.65,35,-327,"falling (plots 1-4) to low tide (plots 5-6)",36,"Rhizophora mangle",453.0933975,453.0933975,96.90056971,549.9939672,549.9939672,20,25,70.9758,35.701,0,35.701,1.101,0.1661,0.0593,0,0.0593,29.6488,0,29.6488,0.35701,0.01101,17.691509,-88.116355,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",3,"Hicks Caye_1_3_mangrove",2021,9,2,17.691509,-88.116355,"handheld",1,97,"mangrove","standing water ~4 in, trees 10-15 ft tall, open canopy, mostly Avicennia, leaves being eaten, brittle branches, no barnacles, oxygen stress","Caye","National Legislation",NA,"healthy",6.65,35,-327,"falling (plots 1-4) to low tide (plots 5-6)",36,"Rhizophora mangle",453.0933975,453.0933975,96.90056971,549.9939672,549.9939672,25,30,73.8359,37.853,0,37.853,1.142,0.2933,0.111,0,0.111,55.515,0,55.515,0.37853,0.01142,17.691509,-88.116355,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",3,"Hicks Caye_1_3_mangrove",2021,9,2,17.691509,-88.116355,"handheld",1,97,"mangrove","standing water ~4 in, trees 10-15 ft tall, open canopy, mostly Avicennia, leaves being eaten, brittle branches, no barnacles, oxygen stress","Caye","National Legislation",NA,"healthy",6.65,35,-327,"falling (plots 1-4) to low tide (plots 5-6)",36,"Rhizophora mangle",453.0933975,453.0933975,96.90056971,549.9939672,549.9939672,30,35,66.467,39.17,0,39.17,1.5072,0.2038,0.0798,0,0.0798,39.9163,0,39.9163,0.3917,0.015072,17.691509,-88.116355,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",3,"Hicks Caye_1_3_mangrove",2021,9,2,17.691509,-88.116355,"handheld",1,97,"mangrove","standing water ~4 in, trees 10-15 ft tall, open canopy, mostly Avicennia, leaves being eaten, brittle branches, no barnacles, oxygen stress","Caye","National Legislation",NA,"healthy",6.65,35,-327,"falling (plots 1-4) to low tide (plots 5-6)",36,"Rhizophora mangle",453.0933975,453.0933975,96.90056971,549.9939672,549.9939672,35,40,62.3047,30.75,0,30.75,1.32,0.1787,0.055,0,0.055,27.4754,0,27.4754,0.3075,0.0132,17.691509,-88.116355,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",3,"Hicks Caye_1_3_mangrove",2021,9,2,17.691509,-88.116355,"handheld",1,97,"mangrove","standing water ~4 in, trees 10-15 ft tall, open canopy, mostly Avicennia, leaves being eaten, brittle branches, no barnacles, oxygen stress","Caye","National Legislation",NA,"healthy",6.65,35,-327,"falling (plots 1-4) to low tide (plots 5-6)",36,"Rhizophora mangle",453.0933975,453.0933975,96.90056971,549.9939672,549.9939672,40,45,56.3236,26.709,0,26.709,1.19,0.2077,0.0555,0,0.0555,27.737,0,27.737,0.26709,0.0119,17.691509,-88.116355,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",3,"Hicks Caye_1_3_mangrove",2021,9,2,17.691509,-88.116355,"handheld",1,97,"mangrove","standing water ~4 in, trees 10-15 ft tall, open canopy, mostly Avicennia, leaves being eaten, brittle branches, no barnacles, oxygen stress","Caye","National Legislation",NA,"healthy",6.65,35,-327,"falling (plots 1-4) to low tide (plots 5-6)",36,"Rhizophora mangle",453.0933975,453.0933975,96.90056971,549.9939672,549.9939672,45,50,53.1858,26.0464,0,26.0464,1.0809,0.1668,0.0435,0,0.0435,21.7266,0,21.7266,0.260464,0.010809,17.691509,-88.116355,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",3,"Hicks Caye_1_3_mangrove",2021,9,2,17.691509,-88.116355,"handheld",1,97,"mangrove","standing water ~4 in, trees 10-15 ft tall, open canopy, mostly Avicennia, leaves being eaten, brittle branches, no barnacles, oxygen stress","Caye","National Legislation",NA,"healthy",6.65,35,-327,"falling (plots 1-4) to low tide (plots 5-6)",36,"Rhizophora mangle",453.0933975,453.0933975,96.90056971,549.9939672,549.9939672,72.5,77.5,14.9266,13.8139,8.212,5.6019,0.3542,0.4344,0.06,0.0357,0.0243,282.0423,167.6668,114.3755,0.056019,0.003542,17.691509,-88.116355,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",4,"Hicks Caye_1_4_mangrove",2021,9,2,17.691458,-88.116596,"handheld",1,93,"mangrove","average 5-10ft trees, open canopy, mostly Avicennia, leaves being eaten, oxygen stress, standing water 3-6in., sparse trees at >15ft, stand of dwarf mangrove, some anoxia (black on root)","Caye","National Legislation",NA,"healthy",7.29,35,-32,"falling (plots 1-4) to low tide (plots 5-6)",17,"Rhizophora mangle",385.0759749,385.0759749,55.68653733,440.7625122,440.7625122,0,5,56.9664,28.3256,0,28.3256,1.3752,0.2216,0.0628,0,0.0628,31.3798,0,31.3798,0.283256,0.013752,17.691458,-88.116596,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",4,"Hicks Caye_1_4_mangrove",2021,9,2,17.691458,-88.116596,"handheld",1,93,"mangrove","average 5-10ft trees, open canopy, mostly Avicennia, leaves being eaten, oxygen stress, standing water 3-6in., sparse trees at >15ft, stand of dwarf mangrove, some anoxia (black on root)","Caye","National Legislation",NA,"healthy",7.29,35,-32,"falling (plots 1-4) to low tide (plots 5-6)",17,"Rhizophora mangle",385.0759749,385.0759749,55.68653733,440.7625122,440.7625122,5,10,61.6567,30.9593,0,30.9593,1.4658,0.2069,0.064,0,0.064,32.0208,0,32.0208,0.309593,0.014658,17.691458,-88.116596,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",4,"Hicks Caye_1_4_mangrove",2021,9,2,17.691458,-88.116596,"handheld",1,93,"mangrove","average 5-10ft trees, open canopy, mostly Avicennia, leaves being eaten, oxygen stress, standing water 3-6in., sparse trees at >15ft, stand of dwarf mangrove, some anoxia (black on root)","Caye","National Legislation",NA,"healthy",7.29,35,-32,"falling (plots 1-4) to low tide (plots 5-6)",17,"Rhizophora mangle",385.0759749,385.0759749,55.68653733,440.7625122,440.7625122,10,15,62.0943,13.8367,0,13.8367,0.6533,0.1989,0.0275,0,0.0275,13.7587,0,13.7587,0.138367,0.006533,17.691458,-88.116596,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",4,"Hicks Caye_1_4_mangrove",2021,9,2,17.691458,-88.116596,"handheld",1,93,"mangrove","average 5-10ft trees, open canopy, mostly Avicennia, leaves being eaten, oxygen stress, standing water 3-6in., sparse trees at >15ft, stand of dwarf mangrove, some anoxia (black on root)","Caye","National Legislation",NA,"healthy",7.29,35,-32,"falling (plots 1-4) to low tide (plots 5-6)",17,"Rhizophora mangle",385.0759749,385.0759749,55.68653733,440.7625122,440.7625122,15,20,68.5068,34.609,0,34.609,1.516,0.2161,0.0748,0,0.0748,37.3954,0,37.3954,0.34609,0.01516,17.691458,-88.116596,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",4,"Hicks Caye_1_4_mangrove",2021,9,2,17.691458,-88.116596,"handheld",1,93,"mangrove","average 5-10ft trees, open canopy, mostly Avicennia, leaves being eaten, oxygen stress, standing water 3-6in., sparse trees at >15ft, stand of dwarf mangrove, some anoxia (black on root)","Caye","National Legislation",NA,"healthy",7.29,35,-32,"falling (plots 1-4) to low tide (plots 5-6)",17,"Rhizophora mangle",385.0759749,385.0759749,55.68653733,440.7625122,440.7625122,20,25,67.2348,33.305,0,33.305,1.348,0.2001,0.0667,0,0.0667,33.3272,0,33.3272,0.33305,0.01348,17.691458,-88.116596,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",4,"Hicks Caye_1_4_mangrove",2021,9,2,17.691458,-88.116596,"handheld",1,93,"mangrove","average 5-10ft trees, open canopy, mostly Avicennia, leaves being eaten, oxygen stress, standing water 3-6in., sparse trees at >15ft, stand of dwarf mangrove, some anoxia (black on root)","Caye","National Legislation",NA,"healthy",7.29,35,-32,"falling (plots 1-4) to low tide (plots 5-6)",17,"Rhizophora mangle",385.0759749,385.0759749,55.68653733,440.7625122,440.7625122,25,30,61.455,29.814,0,29.814,1.264,0.2077,0.0619,0,0.0619,30.9614,0,30.9614,0.29814,0.01264,17.691458,-88.116596,"mangrove"
"Morrissette_et_al_2023","Hicks Caye","1",4,"Hicks Caye_1_4_mangrove",2021,9,2,17.691458,-88.116596,"handheld",1,93,"mangrove","average 5-10ft trees, open canopy, mostly Avicennia, leaves being eaten, oxygen stress, standing water 3-6in., sparse trees at >15ft, stand of dwarf mangrove, some anoxia (black on root)","Caye","National Legislation",NA,"healthy",7.29,35,-32,"falling (plots 1-4) to low tide (plots 5-6)",17,"Rhizophora mangle",385.0759749,385.0759749,55.68653733,440.7625122,440.7625122,30,35,60.5102,28.0037,0,28.0037,1.2602,0.1711,0.0479,0,0.0479,23.9624,0,23.9624,0.280037,0.012602,17.691458,-88.116596,"mangrove"
