"study_id","site_id","core_id","core_year","core_latitude","core_longitude","core_position_method","core_position_notes","salinity_class","salinity_method","vegetation_class","vegetation_method","core_length_flag","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","fraction_carbon","cs137_activity","cs137_activity_se","depth_interval_notes","fraction_nitrogen","Habitat_type"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",34,36,0.1378,0.571648,0.256995,67.4534,3.3531,NA,0.019782,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",36,38,0.2119,0.341457,0.155915,24.2533,1.9377,NA,0.012209,"saltmarsh"
"Piazza_et_al_2020","CRMS0128","0128_2",2006.75,29.8317,-89.947983,"handheld","Point located next to CRMS setup on Google Earth.","fresh","measurement","emergent","measurement","core depth limited by length of corer",38,40,0.2013,0.344284,0.151483,27.4613,2.2122,NA,0.011259,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",0,2,0.3061,0.239214,0.097731,20.0861,1.3391,NA,0.005426,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",2,4,0.2495,0.212892,0.087164,23.5025,1.7678,NA,0.005314,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",4,6,0.245,0.210876,0.084207,25.443,1.5748,NA,0.005099,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",6,8,0.255,0.23319,0.090884,20.1188,1.6961,NA,0.00529,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",8,10,0.2228,0.234118,0.08844,20.0739,1.3077,NA,0.005005,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",10,12,0.2756,0.194444,0.067109,8.1888,1.272,NA,0.003292,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",12,14,0.1576,0.453753,0.185072,9.2424,2.0949,NA,0.013206,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",14,16,0.127,0.491327,0.204931,11.4722,2.6004,NA,0.010194,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",16,18,0.1419,0.510277,0.196116,11.8058,2.5261,NA,0.009849,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",18,20,0.1213,0.480079,0.215401,17.6184,2.732,NA,0.010891,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",20,22,0.1372,0.571491,0.266086,105.0959,3.427,NA,0.014233,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",22,24,0.1319,0.590213,0.265657,195.1789,3.8371,NA,0.014682,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",24,26,0.1627,0.508129,0.244892,103.9634,2.9285,NA,0.014644,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",26,28,0.1473,0.405054,0.179063,30.8358,2.6835,NA,0.01064,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",28,30,0.2197,0.269017,0.114317,8.1189,1.8004,NA,0.005755,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",30,32,0.4492,0.137794,0.045773,2.4915,0.9288,NA,0.001128,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",32,34,0.5846,0.097359,0.020933,0.0508,0.8644,NA,0.00126,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",34,36,0.7305,0.090957,0.022308,0.6899,0.4651,NA,0.001284,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",36,38,0.6069,0.085621,0.020522,-0.3185,0.7248,NA,0.001138,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_1",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",38,40,0.5716,0.107317,0.034699,-0.1823,0.8333,NA,0.000372,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",0,2,0.1774,0.264721,0.106898,16.2025,6.8369,NA,0.008217,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",2,4,0.2223,0.234994,0.095694,14.6818,5.5239,NA,0.007777,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",4,6,0.3172,0.227642,0.094446,18.6236,3.9263,NA,0.006998,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",6,8,0.2529,0.23167,0.081904,14.2106,4.601,NA,0.006899,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",8,10,0.2176,0.294501,0.114506,5.619,5.6892,NA,0.008315,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",10,12,0.1255,0.434966,0.189604,16.7016,10.1305,NA,0.011821,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",12,14,0.1488,0.467054,0.212879,5.7053,7.8837,NA,0.011923,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",14,16,0.1178,0.462029,0.219916,18.9273,10.1916,NA,0.012394,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",16,18,0.1356,0.490183,0.242713,21.581,8.0127,NA,0.012015,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",18,20,0.1062,0.570387,0.285577,10.1683,11.0399,NA,0.012252,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",20,22,0.0993,0.569335,0.277999,55.0654,12.0258,NA,0.014065,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",22,24,0.1124,0.588908,0.260609,67.7545,10.876,NA,0.014801,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",24,26,0.0856,0.597043,0.339668,86.8419,14.0193,NA,0.016731,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",26,28,0.1169,0.480028,0.213325,1.0006,10.5779,NA,0.014718,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",28,30,0.2981,0.189655,0.061517,5.2848,4.3082,NA,0.004528,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",30,32,0.4289,0.149646,0.04282,0.4845,2.7955,NA,0.003655,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",32,34,0.5444,0.105743,0.016996,0.3806,2.2249,NA,0.001945,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",34,36,0.5878,0.08452,0.012378,2.0313,2.0584,NA,0.001586,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",36,38,0.7003,0.072533,0.017181,1.1358,1.6827,NA,0.00183,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",38,40,0.4548,0.085519,0.026258,3.9363,2.6617,NA,0.002577,"saltmarsh"
"Piazza_et_al_2020","CRMS0128_H","0128_H_2",2006.75,29.835167,-89.930067,"other low resolution","Point on marsh, but most H points look like they're taken from boats near shore.","fresh","measurement","emergent","measurement","core depth limited by length of corer",40,42,0.3465,0.177121,0.066515,0.3684,3.3612,NA,0.005449,"saltmarsh"
"Piazza_et_al_2020","CRMS0135","0135_1",2006.75,29.68655,-89.760467,"handheld","Point located next to CRMS setup on Google Earth.","intermediate","measurement","emergent","measurement","core depth limited by length of corer",0,2,0.306,0.184086,0.040013,8.5053,2.3715,NA,0.006385,"saltmarsh"
"Piazza_et_al_2020","CRMS0135","0135_1",2006.75,29.68655,-89.760467,"handheld","Point located next to CRMS setup on Google Earth.","intermediate","measurement","emergent","measurement","core depth limited by length of corer",2,4,0.2927,0.193674,0.077233,1.2945,2.6445,NA,0.008523,"saltmarsh"
"Piazza_et_al_2020","CRMS0135","0135_1",2006.75,29.68655,-89.760467,"handheld","Point located next to CRMS setup on Google Earth.","intermediate","measurement","emergent","measurement","core depth limited by length of corer",4,6,0.2338,0.280986,0.043367,9.1964,3.0148,NA,0.006018,"saltmarsh"
"Piazza_et_al_2020","CRMS0135","0135_1",2006.75,29.68655,-89.760467,"handheld","Point located next to CRMS setup on Google Earth.","intermediate","measurement","emergent","measurement","core depth limited by length of corer",6,8,0.1771,0.324521,0.122988,9.3644,3.9819,NA,0.010647,"saltmarsh"
"Piazza_et_al_2020","CRMS0135","0135_1",2006.75,29.68655,-89.760467,"handheld","Point located next to CRMS setup on Google Earth.","intermediate","measurement","emergent","measurement","core depth limited by length of corer",8,10,0.1523,0.590618,0.130952,10.8058,4.821,NA,0.012108,"saltmarsh"
"Piazza_et_al_2020","CRMS0135","0135_1",2006.75,29.68655,-89.760467,"handheld","Point located next to CRMS setup on Google Earth.","intermediate","measurement","emergent","measurement","core depth limited by length of corer",10,12,0.1372,0.430556,0.164143,7.5509,4.0133,NA,0.01245,"saltmarsh"
"Piazza_et_al_2020","CRMS0135","0135_1",2006.75,29.68655,-89.760467,"handheld","Point located next to CRMS setup on Google Earth.","intermediate","measurement","emergent","measurement","core depth limited by length of corer",12,14,0.1448,0.386277,0.136385,16.5355,4.7099,NA,0.010292,"saltmarsh"
"Piazza_et_al_2020","CRMS0135","0135_1",2006.75,29.68655,-89.760467,"handheld","Point located next to CRMS setup on Google Earth.","intermediate","measurement","emergent","measurement","core depth limited by length of corer",14,16,0.1353,0.39542,0.138821,20.5476,5.4548,NA,0.013532,"saltmarsh"
"Piazza_et_al_2020","CRMS0135","0135_1",2006.75,29.68655,-89.760467,"handheld","Point located next to CRMS setup on Google Earth.","intermediate","measurement","emergent","measurement","core depth limited by length of corer",16,18,0.125,0.424667,0.156079,2.3605,4.4486,NA,0.011977,"saltmarsh"
"Piazza_et_al_2020","CRMS0135","0135_1",2006.75,29.68655,-89.760467,"handheld","Point located next to CRMS setup on Google Earth.","intermediate","measurement","emergent","measurement","core depth limited by length of corer",18,20,0.1393,0.436071,0.158763,12.4137,5.1814,NA,0.012775,"saltmarsh"
"Piazza_et_al_2020","CRMS0135","0135_1",2006.75,29.68655,-89.760467,"handheld","Point located next to CRMS setup on Google Earth.","intermediate","measurement","emergent","measurement","core depth limited by length of corer",20,22,0.173,0.365498,0.149471,15.6745,4.1819,NA,0.012105,"saltmarsh"
"Piazza_et_al_2020","CRMS0135","0135_1",2006.75,29.68655,-89.760467,"handheld","Point located next to CRMS setup on Google Earth.","intermediate","measurement","emergent","measurement","core depth limited by length of corer",22,24,0.1394,0.393738,0.154183,19.9711,4.0309,NA,0.011889,"saltmarsh"
"Piazza_et_al_2020","CRMS0135","0135_1",2006.75,29.68655,-89.760467,"handheld","Point located next to CRMS setup on Google Earth.","intermediate","measurement","emergent","measurement","core depth limited by length of corer",24,26,0.1666,0.373742,0.152415,29.0916,4.7013,NA,0.012854,"saltmarsh"
