"study_id","site_id","core_id","core_year","core_latitude","core_longitude","core_position_method","core_position_notes","core_elevation","core_elevation_datum","core_elevation_method","core_elevation_notes","salinity_class","salinity_method","salinity_notes","vegetation_class","peat_depth","core_length","porewater_salinity","pH","peat_depth_notes","depth_min","depth_max","dry_bulk_density","fraction_carbon","depth_interval_notes","representative_depth_min","representative_depth_max"
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-3",2017,46.1923,-123.5802,"RTK-GPS",NA,2.607,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",185,185,NA,NA,NA,5,10,0.511940038347568,0.0712577486038208,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",0,15
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-3",2017,46.1923,-123.5802,"RTK-GPS",NA,2.607,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",185,185,NA,NA,NA,20,25,0.540177793271745,0.0566791963577271,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",15,30
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-3",2017,46.1923,-123.5802,"RTK-GPS",NA,2.607,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",185,185,NA,NA,NA,37,42,0.444308872232874,0.084899377822876,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",30,50
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-3",2017,46.1923,-123.5802,"RTK-GPS",NA,2.607,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",185,185,NA,NA,NA,72,77,0.561356109464877,0.063405909538269,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",50,100
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-3",2017,46.1923,-123.5802,"RTK-GPS",NA,2.607,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",185,185,NA,NA,NA,NA,NA,0.466881645459299,0.11315502166748,"vertical slice of 5cm taken within the given representative depth range",100,185
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-4",2017,46.1922,-123.5794,"RTK-GPS",NA,2.789,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,5,10,0.292138748474813,0.155695018768311,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",0,15
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-4",2017,46.1922,-123.5794,"RTK-GPS",NA,2.789,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,20,25,0.346522572773227,0.115168724060059,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",15,30
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-4",2017,46.1922,-123.5794,"RTK-GPS",NA,2.789,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,37,42,0.499738539306258,0.0722115135192871,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",30,50
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-4",2017,46.1922,-123.5794,"RTK-GPS",NA,2.789,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,72,77,0.36011852884783,0.135026588439941,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",50,100
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-4",2017,46.1922,-123.5794,"RTK-GPS",NA,2.789,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,NA,NA,0.456597524838766,0.0736074495315552,"vertical slice of 5cm taken within the given representative depth range",100,250
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-5",2017,46.1921,-123.5792,"RTK-GPS",NA,2.756,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,5,10,0.299198187205857,0.104465446472168,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",0,15
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-5",2017,46.1921,-123.5792,"RTK-GPS",NA,2.756,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,20,25,0.254226947882168,0.125614700317383,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",15,30
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-5",2017,46.1921,-123.5792,"RTK-GPS",NA,2.756,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,37,42,0.409883214223462,0.0848724365234375,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",30,50
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-5",2017,46.1921,-123.5792,"RTK-GPS",NA,2.756,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,72,77,0.521004009063971,0.0773354864120483,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",50,100
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-5",2017,46.1921,-123.5792,"RTK-GPS",NA,2.756,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,NA,NA,0.307477775841032,0.124235067367554,"vertical slice of 5cm taken within the given representative depth range",100,250
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-6",2017,46.1919,-123.579,"RTK-GPS",NA,2.71,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,5,10,0.314624368136657,0.110610551834106,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",0,15
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-6",2017,46.1919,-123.579,"RTK-GPS",NA,2.71,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,20,25,0.377113473941084,0.0922211742401123,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",15,30
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-6",2017,46.1919,-123.579,"RTK-GPS",NA,2.71,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,37,42,0.468188948928011,0.0783507966995239,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",30,50
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-6",2017,46.1919,-123.579,"RTK-GPS",NA,2.71,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,72,77,0.403433850444483,0.113233966827393,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",50,100
"Kauffman_et_al_2020","Blind Slough Swamp","COL-BLI-TS-6",2017,46.1919,-123.579,"RTK-GPS",NA,2.71,"NAVD88","RTK-GPS",NA,NA,NA,NA,"forested",250,250,NA,NA,NA,NA,NA,0.649555516820638,0.0342468333244324,"vertical slice of 5cm taken within the given representative depth range",100,250
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-1",2017,46.3048,-123.6924,"RTK-GPS",NA,2.102,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",262,262,0,6.22,NA,5,10,0.529370751263727,0.051081018447876,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",0,15
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-1",2017,46.3048,-123.6924,"RTK-GPS",NA,2.102,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",262,262,0,6.22,NA,20,25,0.550200453198536,0.0306744623184204,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",15,30
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-1",2017,46.3048,-123.6924,"RTK-GPS",NA,2.102,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",262,262,0,6.22,NA,37,42,0.659055255359944,0.0169894456863403,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",30,50
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-1",2017,46.3048,-123.6924,"RTK-GPS",NA,2.102,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",262,262,0,6.22,NA,72,77,0.723200278891407,0.0236813426017761,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",50,100
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-1",2017,46.3048,-123.6924,"RTK-GPS",NA,2.102,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",262,262,0,6.22,NA,NA,NA,1.00479344605194,0.0153195226192474,"vertical slice of 5cm taken within the given representative depth range",100,262
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-2",2017,46.305,-123.6924,"RTK-GPS",NA,2.082,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",144,144,NA,NA,NA,5,10,0.541572250305038,0.0367930150032043,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",0,15
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-2",2017,46.305,-123.6924,"RTK-GPS",NA,2.082,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",144,144,NA,NA,NA,20,25,0.736883388530591,0.0171380126476288,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",15,30
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-2",2017,46.305,-123.6924,"RTK-GPS",NA,2.082,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",144,144,NA,NA,NA,37,42,0.824472720934286,0.0126857447624207,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",30,50
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-2",2017,46.305,-123.6924,"RTK-GPS",NA,2.082,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",144,144,NA,NA,NA,72,77,0.85680669339376,0.0131586647033691,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",50,100
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-2",2017,46.305,-123.6924,"RTK-GPS",NA,2.082,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",144,144,NA,NA,NA,NA,NA,1.23418162802859,0.00800068974494934,"vertical slice of 5cm taken within the given representative depth range",100,144
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-3",2017,46.3051,-123.6924,"RTK-GPS",NA,2.074,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",241,241,0,5.81,NA,5,10,0.361425832316542,0.0507833385467529,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",0,15
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-3",2017,46.3051,-123.6924,"RTK-GPS",NA,2.074,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",241,241,0,5.81,NA,20,25,0.391145197838592,0.0490438365936279,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",15,30
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-3",2017,46.3051,-123.6924,"RTK-GPS",NA,2.074,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",241,241,0,5.81,NA,37,42,0.510545581314276,0.0361372590065002,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",30,50
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-3",2017,46.3051,-123.6924,"RTK-GPS",NA,2.074,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",241,241,0,5.81,NA,72,77,0.855586543489629,0.0104514956474304,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",50,100
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-3",2017,46.3051,-123.6924,"RTK-GPS",NA,2.074,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",241,241,0,5.81,NA,NA,NA,1.10083667421998,0.0159917807579041,"vertical slice of 5cm taken within the given representative depth range",100,241
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-4",2017,46.3053,-123.6924,"RTK-GPS",NA,2.085,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",251,251,0,6.32,NA,5,10,0.349311486839812,0.0571183490753174,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",0,15
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-4",2017,46.3053,-123.6924,"RTK-GPS",NA,2.085,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",251,251,0,6.32,NA,20,25,0.472372320027889,0.0374545335769653,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",15,30
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-4",2017,46.3053,-123.6924,"RTK-GPS",NA,2.085,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",251,251,0,6.32,NA,37,42,0.724594735924699,0.0235493683815002,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",30,50
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-4",2017,46.3053,-123.6924,"RTK-GPS",NA,2.085,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",251,251,0,6.32,NA,72,77,0.927401080704201,0.0216161680221558,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",50,100
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-4",2017,46.3053,-123.6924,"RTK-GPS",NA,2.085,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",251,251,0,6.32,NA,NA,NA,1.19060484573819,0.0119370520114899,"vertical slice of 5cm taken within the given representative depth range",100,251
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-5",2017,46.3055,-123.6924,"RTK-GPS",NA,1.939,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",241,241,0,6.33,NA,5,10,0.423130556039742,0.0505337858200073,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",0,15
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-5",2017,46.3055,-123.6924,"RTK-GPS",NA,1.939,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",241,241,0,6.33,NA,20,25,0.51987101272442,0.0387003397941589,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",15,30
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-5",2017,46.3055,-123.6924,"RTK-GPS",NA,1.939,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",241,241,0,6.33,NA,37,42,0.681017953634304,0.0192677748203278,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",30,50
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-5",2017,46.3055,-123.6924,"RTK-GPS",NA,1.939,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",241,241,0,6.33,NA,72,77,0.810789611295102,0.0181343364715576,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",50,100
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-5",2017,46.3055,-123.6924,"RTK-GPS",NA,1.939,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",241,241,0,6.33,NA,NA,NA,1.01429318459125,0.017401556968689,"vertical slice of 5cm taken within the given representative depth range",100,241
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-6",2017,46.3057,-123.6924,"RTK-GPS",NA,2.061,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",153,153,NA,NA,NA,5,10,0.296583580268433,0.0692960071563721,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",0,15
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-6",2017,46.3057,-123.6924,"RTK-GPS",NA,2.061,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",153,153,NA,NA,NA,20,25,0.482917901342165,0.0424042940139771,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",15,30
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-6",2017,46.3057,-123.6924,"RTK-GPS",NA,2.061,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",153,153,NA,NA,NA,37,42,0.517517866480739,0.0419606304168701,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",30,50
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-6",2017,46.3057,-123.6924,"RTK-GPS",NA,2.061,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",153,153,NA,NA,NA,72,77,0.988931497298239,0.0181513428688049,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",50,100
"Kauffman_et_al_2020","Secret River High Marsh","COL-SEC-HM-6",2017,46.3057,-123.6924,"RTK-GPS",NA,2.061,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",153,153,NA,NA,NA,NA,NA,0.576520829701935,0.0398313045501709,"vertical slice of 5cm taken within the given representative depth range",100,153
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-1",2017,46.3051,-123.695,"RTK-GPS",NA,1.28,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",77,77,0,6.32,NA,20,25,0.928708384172913,0.0139899587631226,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",15,30
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-1",2017,46.3051,-123.695,"RTK-GPS",NA,1.28,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",77,77,0,6.32,NA,37,42,1.12192783684853,0.00917562544345856,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",30,50
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-1",2017,46.3051,-123.695,"RTK-GPS",NA,1.28,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",77,77,0,6.32,NA,72,77,1.25326825867178,0.00481849670410156,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",50,100
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-1",2017,46.3051,-123.695,"RTK-GPS",NA,1.28,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",77,77,0,6.32,NA,5,10,0.68502701760502,0.0152227020263672,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",0,15
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-2",2017,46.3053,-123.695,"RTK-GPS",NA,1.196,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",99.5,99.5,NA,NA,NA,20,25,0.991981872058567,0.0134341263771057,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",15,30
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-2",2017,46.3053,-123.695,"RTK-GPS",NA,1.196,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",99.5,99.5,NA,NA,NA,37,42,1.26076346522573,0.00475812941789627,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",30,50
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-2",2017,46.3053,-123.695,"RTK-GPS",NA,1.196,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",99.5,99.5,NA,NA,NA,72,77,0.997123932368834,0.0163269984722137,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",50,100
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-2",2017,46.3053,-123.695,"RTK-GPS",NA,1.196,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",99.5,99.5,NA,NA,NA,5,10,0.780634477950148,0.00897511422634125,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",0,15
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-3",2017,46.3054,-123.695,"RTK-GPS",NA,1.327,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",105,105,0,6.3,NA,20,25,0.536430189994771,0.0223492622375488,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",15,30
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-3",2017,46.3054,-123.695,"RTK-GPS",NA,1.327,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",105,105,0,6.3,NA,37,42,0.84469234791703,0.0084996896982193,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",30,50
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-3",2017,46.3054,-123.695,"RTK-GPS",NA,1.327,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",105,105,0,6.3,NA,72,77,1.17700888966359,0.00371185392141342,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",50,100
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-3",2017,46.3054,-123.695,"RTK-GPS",NA,1.327,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",105,105,0,6.3,NA,5,10,0.665504619138923,0.0188858962059021,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",0,15
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-4",2017,46.3056,-123.6951,"RTK-GPS",NA,1.381,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",98,98,NA,NA,NA,20,25,0.78525361687293,0.0163216066360474,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",15,30
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-4",2017,46.3056,-123.6951,"RTK-GPS",NA,1.381,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",98,98,NA,NA,NA,37,42,0.997995468014642,0.0108851981163025,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",30,50
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-4",2017,46.3056,-123.6951,"RTK-GPS",NA,1.381,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",98,98,NA,NA,NA,72,77,0.985271047585846,0.0277543926239014,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",50,100
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-4",2017,46.3056,-123.6951,"RTK-GPS",NA,1.381,"NAVD88","RTK-GPS",NA,NA,NA,NA,"emergent",98,98,NA,NA,NA,5,10,0.706553948056476,0.0161165881156921,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",0,15
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-5",2017,46.3058,-123.6951,"RTK-GPS",NA,1.209,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",129,129,0,6.47,NA,5,10,0.663761547847307,0.0212015986442566,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",0,15
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-5",2017,46.3058,-123.6951,"RTK-GPS",NA,1.209,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",129,129,0,6.47,NA,20,25,0.928708384172913,0.022707953453064,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",15,30
"Kauffman_et_al_2020","Secret River Low Marsh","COL-SEC-LM-5",2017,46.3058,-123.6951,"RTK-GPS",NA,1.209,"NAVD88","RTK-GPS",NA,"fresh","measurement","refractometer","emergent",129,129,0,6.47,NA,37,42,0.885654523270002,0.0318422031402588,"vertical slice of 5cm taken within the given representative depth range; location of sampled depth interval is approximate",30,50
